task,config,spearman,auroc,dpsnr10,dpsnr20,dpsnr30,elapsed_s,fwd_count,psnr
T2->T1,full_n4,-0.7872,0.8162,1.6735,2.7712,3.8768,3.9156,40.0,20.0337
T2->T1,fusion_w1.0,-0.7671,0.7986,1.4854,2.403,3.3947,3.9156,40.0,
T2->T1,fusion_w0.7,-0.7836,0.8136,1.6477,2.7115,3.7984,3.9156,40.0,
T2->T1,fusion_w0.5,-0.79,0.8178,1.6818,2.8107,3.9287,3.9156,40.0,
T2->T1,fusion_w0.3,-0.7932,0.8179,1.624,2.8414,3.9484,3.9156,40.0,
T2->T1,fusion_w0.0,-0.7864,0.8058,1.3014,2.4479,3.5102,3.9156,40.0,
T2->T1,rcrf_n1,-0.7594,0.7922,1.483,2.3409,3.2088,1.9444,20.0,19.8363
T2->T1,rcrf_n4,-0.7671,0.7986,1.4854,2.403,3.3947,3.9156,40.0,
T2->T1,unc_n4,-0.7864,0.8058,1.3014,2.4479,3.5102,3.9156,40.0,
T2->T1,random,0.0003,0.5007,0.006,0.0151,0.0133,0.0,0.0,
T2->T1,full_skip2,-0.7819,0.8152,1.7894,2.8594,3.8947,2.3754,24.0,19.8992
T1->T2,full_n4,-0.8945,0.9001,2.7181,5.3538,8.9049,3.0996,40.0,20.661
T1->T2,fusion_w1.0,-0.8787,0.8859,2.3924,4.7283,7.9379,3.0996,40.0,
T1->T2,fusion_w0.7,-0.8909,0.8975,2.6656,5.2475,8.7328,3.0996,40.0,
T1->T2,fusion_w0.5,-0.898,0.9021,2.7569,5.4391,9.1076,3.0996,40.0,
T1->T2,fusion_w0.3,-0.9047,0.904,2.7286,5.4722,9.3547,3.0996,40.0,
T1->T2,fusion_w0.0,-0.9105,0.8975,2.4207,4.8999,8.596,3.0996,40.0,
T1->T2,rcrf_n1,-0.8696,0.8796,2.4014,4.5606,7.3326,1.5254,20.0,20.3477
T1->T2,rcrf_n4,-0.8787,0.8859,2.3924,4.7283,7.9379,3.0996,40.0,
T1->T2,unc_n4,-0.9105,0.8975,2.4207,4.8999,8.596,3.0996,40.0,
T1->T2,random,0.0025,0.498,-0.0041,-0.0154,-0.0185,0.0,0.0,
T1->T2,full_skip2,-0.8887,0.9,2.8392,5.4936,8.903,1.8899,24.0,20.5275
