task,subject,z,config,predictor,spearman,auroc,dpsnr10,dpsnr20,dpsnr30,elapsed_s,fwd_count,psnr
T2->T1,IXI017-Guys-0698,27,full_n4,rcrf+unc(w.6/.4),-0.8183,0.894,3.712,5.446,6.728,5.152,40,18.93
T2->T1,IXI017-Guys-0698,27,fusion_w1.0,w1=1.0,-0.7982,0.8866,3.388,5.208,6.583,5.152,40,
T2->T1,IXI017-Guys-0698,27,fusion_w0.7,w1=0.7,-0.814,0.8933,3.709,5.389,6.713,5.152,40,
T2->T1,IXI017-Guys-0698,27,fusion_w0.5,w1=0.5,-0.8218,0.8937,3.666,5.442,6.734,5.152,40,
T2->T1,IXI017-Guys-0698,27,fusion_w0.3,w1=0.3,-0.8259,0.8901,3.437,5.434,6.711,5.152,40,
T2->T1,IXI017-Guys-0698,27,fusion_w0.0,w1=0.0,-0.8091,0.8604,2.185,4.311,5.858,5.152,40,
T2->T1,IXI017-Guys-0698,27,rcrf_n1,rcrf(单次推理),-0.7887,0.8804,3.245,4.948,6.473,2.729,20,18.86
T2->T1,IXI017-Guys-0698,27,rcrf_n4,rcrf(4次平均),-0.7982,0.8866,3.388,5.208,6.583,5.152,40,
T2->T1,IXI017-Guys-0698,27,unc_n4,unc(集成标准差),-0.8091,0.8604,2.185,4.311,5.858,5.152,40,
T2->T1,IXI017-Guys-0698,27,random,uniform-random,0.0098,0.4999,-0.01,-0.012,-0.006,0.0,0,
T2->T1,IXI017-Guys-0698,27,full_skip2,rcrf+unc(w.6/.4),-0.807,0.8943,3.709,5.543,6.884,2.136,24,18.71
T2->T1,IXI017-Guys-0698,39,full_n4,rcrf+unc(w.6/.4),-0.8015,0.821,1.543,2.624,3.266,3.83,40,19.51
T2->T1,IXI017-Guys-0698,39,fusion_w1.0,w1=1.0,-0.7884,0.8144,1.605,2.436,3.135,3.83,40,
T2->T1,IXI017-Guys-0698,39,fusion_w0.7,w1=0.7,-0.7986,0.8203,1.56,2.542,3.227,3.83,40,
T2->T1,IXI017-Guys-0698,39,fusion_w0.5,w1=0.5,-0.8042,0.8211,1.5,2.674,3.335,3.83,40,
T2->T1,IXI017-Guys-0698,39,fusion_w0.3,w1=0.3,-0.809,0.8194,1.423,2.647,3.337,3.83,40,
T2->T1,IXI017-Guys-0698,39,fusion_w0.0,w1=0.0,-0.8061,0.8035,1.182,2.206,2.953,3.83,40,
T2->T1,IXI017-Guys-0698,39,rcrf_n1,rcrf(单次推理),-0.7774,0.8031,1.632,2.348,2.871,1.909,20,19.28
T2->T1,IXI017-Guys-0698,39,rcrf_n4,rcrf(4次平均),-0.7884,0.8144,1.605,2.436,3.135,3.83,40,
T2->T1,IXI017-Guys-0698,39,unc_n4,unc(集成标准差),-0.8061,0.8035,1.182,2.206,2.953,3.83,40,
T2->T1,IXI017-Guys-0698,39,random,uniform-random,-0.014,0.4999,-0.037,0.011,0.047,0.0,0,
T2->T1,IXI017-Guys-0698,39,full_skip2,rcrf+unc(w.6/.4),-0.7987,0.8219,1.668,2.957,3.417,2.423,24,19.3
T2->T1,IXI017-Guys-0698,51,full_n4,rcrf+unc(w.6/.4),-0.7811,0.8098,1.471,2.445,2.995,3.844,40,20.56
T2->T1,IXI017-Guys-0698,51,fusion_w1.0,w1=1.0,-0.7657,0.7898,1.337,1.982,2.565,3.844,40,
T2->T1,IXI017-Guys-0698,51,fusion_w0.7,w1=0.7,-0.778,0.806,1.444,2.37,2.923,3.844,40,
T2->T1,IXI017-Guys-0698,51,fusion_w0.5,w1=0.5,-0.7839,0.8126,1.495,2.52,3.032,3.844,40,
T2->T1,IXI017-Guys-0698,51,fusion_w0.3,w1=0.3,-0.7884,0.8159,1.437,2.531,3.175,3.844,40,
T2->T1,IXI017-Guys-0698,51,fusion_w0.0,w1=0.0,-0.7881,0.8102,1.322,2.329,2.946,3.844,40,
T2->T1,IXI017-Guys-0698,51,rcrf_n1,rcrf(单次推理),-0.7571,0.7757,1.388,1.862,2.369,1.905,20,20.39
T2->T1,IXI017-Guys-0698,51,rcrf_n4,rcrf(4次平均),-0.7657,0.7898,1.337,1.982,2.565,3.844,40,
T2->T1,IXI017-Guys-0698,51,unc_n4,unc(集成标准差),-0.7881,0.8102,1.322,2.329,2.946,3.844,40,
T2->T1,IXI017-Guys-0698,51,random,uniform-random,-0.0057,0.5014,0.036,0.021,0.003,0.0,0,
T2->T1,IXI017-Guys-0698,51,full_skip2,rcrf+unc(w.6/.4),-0.7729,0.803,1.652,2.475,3.048,2.277,24,20.47
T2->T1,IXI017-Guys-0698,63,full_n4,rcrf+unc(w.6/.4),-0.7602,0.7979,1.187,2.071,2.67,3.747,40,19.94
T2->T1,IXI017-Guys-0698,63,fusion_w1.0,w1=1.0,-0.7354,0.7739,1.133,1.782,2.289,3.747,40,
T2->T1,IXI017-Guys-0698,63,fusion_w0.7,w1=0.7,-0.7557,0.7941,1.204,2.037,2.591,3.747,40,
T2->T1,IXI017-Guys-0698,63,fusion_w0.5,w1=0.5,-0.7638,0.8005,1.167,2.076,2.753,3.747,40,
T2->T1,IXI017-Guys-0698,63,fusion_w0.3,w1=0.3,-0.7684,0.8019,1.123,2.119,2.76,3.747,40,
T2->T1,IXI017-Guys-0698,63,fusion_w0.0,w1=0.0,-0.7622,0.7921,0.959,1.832,2.582,3.747,40,
T2->T1,IXI017-Guys-0698,63,rcrf_n1,rcrf(单次推理),-0.7284,0.7627,1.209,1.74,2.249,1.982,20,19.85
T2->T1,IXI017-Guys-0698,63,rcrf_n4,rcrf(4次平均),-0.7354,0.7739,1.133,1.782,2.289,3.747,40,
T2->T1,IXI017-Guys-0698,63,unc_n4,unc(集成标准差),-0.7622,0.7921,0.959,1.832,2.582,3.747,40,
T2->T1,IXI017-Guys-0698,63,random,uniform-random,-0.0183,0.4978,-0.037,0.051,0.103,0.0,0,
T2->T1,IXI017-Guys-0698,63,full_skip2,rcrf+unc(w.6/.4),-0.7527,0.7946,1.353,2.062,2.691,2.528,24,19.88
T2->T1,IXI017-Guys-0698,75,full_n4,rcrf+unc(w.6/.4),-0.7192,0.7109,0.457,0.932,1.362,4.028,40,19.58
T2->T1,IXI017-Guys-0698,75,fusion_w1.0,w1=1.0,-0.7022,0.6971,0.458,0.848,1.099,4.028,40,
T2->T1,IXI017-Guys-0698,75,fusion_w0.7,w1=0.7,-0.7164,0.7088,0.443,0.963,1.316,4.028,40,
T2->T1,IXI017-Guys-0698,75,fusion_w0.5,w1=0.5,-0.721,0.7121,0.463,0.911,1.379,4.028,40,
T2->T1,IXI017-Guys-0698,75,fusion_w0.3,w1=0.3,-0.7215,0.7116,0.474,0.894,1.256,4.028,40,
T2->T1,IXI017-Guys-0698,75,fusion_w0.0,w1=0.0,-0.7096,0.6999,0.414,0.798,1.063,4.028,40,
T2->T1,IXI017-Guys-0698,75,rcrf_n1,rcrf(单次推理),-0.6976,0.6898,0.481,0.968,1.11,1.962,20,19.38
T2->T1,IXI017-Guys-0698,75,rcrf_n4,rcrf(4次平均),-0.7022,0.6971,0.458,0.848,1.099,4.028,40,
T2->T1,IXI017-Guys-0698,75,unc_n4,unc(集成标准差),-0.7096,0.6999,0.414,0.798,1.063,4.028,40,
T2->T1,IXI017-Guys-0698,75,random,uniform-random,-0.0036,0.4971,-0.034,-0.075,-0.142,0.0,0,
T2->T1,IXI017-Guys-0698,75,full_skip2,rcrf+unc(w.6/.4),-0.7257,0.7238,0.526,1.167,1.56,2.526,24,19.46
T2->T1,IXI017-Guys-0698,87,full_n4,rcrf+unc(w.6/.4),-0.7674,0.7877,0.956,1.803,2.357,3.958,40,21.09
T2->T1,IXI017-Guys-0698,87,fusion_w1.0,w1=1.0,-0.7426,0.759,0.882,1.526,1.798,3.958,40,
T2->T1,IXI017-Guys-0698,87,fusion_w0.7,w1=0.7,-0.763,0.7829,0.954,1.806,2.237,3.958,40,
T2->T1,IXI017-Guys-0698,87,fusion_w0.5,w1=0.5,-0.771,0.7914,0.95,1.82,2.411,3.958,40,
T2->T1,IXI017-Guys-0698,87,fusion_w0.3,w1=0.3,-0.7754,0.7959,0.92,1.81,2.468,3.958,40,
T2->T1,IXI017-Guys-0698,87,fusion_w0.0,w1=0.0,-0.7708,0.7932,0.815,1.68,2.261,3.958,40,
T2->T1,IXI017-Guys-0698,87,rcrf_n1,rcrf(单次推理),-0.7345,0.7545,0.932,1.499,1.773,1.862,20,20.96
T2->T1,IXI017-Guys-0698,87,rcrf_n4,rcrf(4次平均),-0.7426,0.759,0.882,1.526,1.798,3.958,40,
T2->T1,IXI017-Guys-0698,87,unc_n4,unc(集成标准差),-0.7708,0.7932,0.815,1.68,2.261,3.958,40,
T2->T1,IXI017-Guys-0698,87,random,uniform-random,-0.0009,0.4939,-0.038,-0.053,-0.037,0.0,0,
